NAME	SIZE	ES.Runin.All	NES.Runin.All	NOM.p.val.Runin.All	FDR.q.val.Runin.All	FWER.p.val.Runin.All	RANK.AT.MAX.Runin.All	LEADING.EDGE.Runin.All	ES.Runin.Nonzero.Tumor	NES.Runin.Nonzero.Tumor	NOM.p.val.Runin.Nonzero.Tumor	FDR.q.val.Runin.Nonzero.Tumor	FWER.p.val.Runin.Nonzero.Tumor	RANK.AT.MAX.Runin.Nonzero.Tumor	LEADING.EDGE.Runin.Nonzero.Tumor	ES.Surgery	NES.Surgery	NOM.p.val.Surgery	FDR.q.val.Surgery	FWER.p.val.Surgery	RANK.AT.MAX.Surgery	LEADING.EDGE.Surgery
ERBB2_DESMEDT_UP	23	-0.7484568	-2.2744577	0	0	0	2417	tags=61%, list=12%, signal=69%	-0.72921777	-2.2307072	0	0	0	3460	tags=70%, list=18%, signal=84%	-0.78560466	-2.3850818	0	0	0	2652	tags=74%, list=14%, signal=85%
ESR1_DESMEDT	262	-0.48498967	-2.2830608	0	0	0	3609	tags=40%, list=18%, signal=49%	-0.4813535	-2.3401299	0	0	0	4682	tags=50%, list=24%, signal=64%	-0.44886416	-2.0746343	0	0.000188	0.001	2817	tags=35%, list=14%, signal=40%
GEPARSIXTO_IMMUNE	12	0.5224429	1.3371389	0.14700194	0.07036808	0.713	4431	tags=58%, list=23%, signal=75%	0.90384966	2.2225397	0	0	0	1015	tags=58%, list=5%, signal=61%	-0.75503814	-1.8599334	0.002178649	0.001149065	0.007	3312	tags=50%, list=17%, signal=60%
HALLMARK_ADIPOGENESIS	188	0.4245543	1.9018419	0	0.000756	0.006	1999	tags=22%, list=10%, signal=25%	0.41583705	1.7732478	0	0.00079	0.012	2775	tags=24%, list=14%, signal=28%	0.5202018	2.0984113	0	0	0	2024	tags=24%, list=10%, signal=27%
HALLMARK_ALLOGRAFT_REJECTION	193	0.4320009	1.9680927	0	0.000188	0.001	4553	tags=46%, list=23%, signal=59%	0.5633047	2.39777	0	0	0	3575	tags=49%, list=18%, signal=60%	-0.3101025	-1.381072	0.009933775	0.037880924	0.405	4742	tags=35%, list=24%, signal=46%
HALLMARK_ANDROGEN_RESPONSE	98	-0.28917015	-1.1835967	0.14884695	0.1735075	0.967	2360	tags=22%, list=12%, signal=25%	0.29187512	1.1453917	0.20336391	0.2501566	1	4222	tags=34%, list=22%, signal=43%	0.28493482	1.0513166	0.35876623	0.3705469	1	1246	tags=15%, list=6%, signal=16%
HALLMARK_ANGIOGENESIS	35	0.6250839	2.091569	0	0	0	1813	tags=37%, list=9%, signal=41%	0.63607013	2.0415013	0	0	0	1866	tags=37%, list=10%, signal=41%	0.40940025	1.2488521	0.15666667	0.14183365	0.955	1595	tags=26%, list=8%, signal=28%
HALLMARK_APOPTOSIS	160	0.27103722	1.1819026	0.12154696	0.19609231	0.982	2487	tags=21%, list=13%, signal=23%	0.2782055	1.152719	0.17171717	0.2492358	1	4688	tags=35%, list=24%, signal=46%	0.34682584	1.3976921	0.014684288	0.050239656	0.61	1506	tags=18%, list=8%, signal=19%
HALLMARK_COAGULATION	138	0.40681374	1.7523677	0	0.002795043	0.027	3487	tags=38%, list=18%, signal=45%	0.43628895	1.7635523	0	0.000992	0.016	2154	tags=29%, list=11%, signal=32%	0.38649473	1.530294	0.004405286	0.02159045	0.233	2024	tags=25%, list=10%, signal=27%
HALLMARK_COMPLEMENT	196	0.3548164	1.6137862	0	0.009882059	0.099	3219	tags=31%, list=16%, signal=37%	0.44500893	1.8961359	0	0	0	3750	tags=39%, list=19%, signal=47%	0.26045838	1.0548135	0.32846716	0.38035414	1	2209	tags=18%, list=11%, signal=20%
HALLMARK_DNA_REPAIR	146	-0.3874811	-1.6930431	0	0.003278395	0.044	4226	tags=34%, list=22%, signal=43%	-0.3496786	-1.5701574	0	0.012584771	0.117	1828	tags=21%, list=9%, signal=23%	-0.3917871	-1.681333	0	0.003981942	0.038	5386	tags=42%, list=27%, signal=57%
HALLMARK_E2F_TARGETS	177	-0.7256952	-3.2702777	0	0	0	2305	tags=58%, list=12%, signal=65%	-0.72523093	-3.369128	0	0	0	1707	tags=51%, list=9%, signal=56%	-0.7036051	-3.0748935	0	0	0	2761	tags=59%, list=14%, signal=68%
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	194	0.5234536	2.3259869	0	0	0	1822	tags=38%, list=9%, signal=42%	0.5574975	2.371934	0	0	0	2875	tags=46%, list=15%, signal=54%	0.39355105	1.5977528	0	0.012039652	0.121	1978	tags=27%, list=10%, signal=30%
HALLMARK_ESTROGEN_RESPONSE_EARLY	186	-0.3080755	-1.4039346	0.008196721	0.03639445	0.491	2217	tags=24%, list=11%, signal=27%	-0.24545087	-1.1467477	0.110749185	0.20300746	0.938	3059	tags=27%, list=16%, signal=32%	0.31701416	1.2905438	0.06140351	0.11581436	0.898	2189	tags=20%, list=11%, signal=22%
HALLMARK_ESTROGEN_RESPONSE_LATE	196	-0.42147693	-1.9118497	0	8.33e-05	0.001	2329	tags=32%, list=12%, signal=36%	-0.36548254	-1.7221541	0	0.002765428	0.023	2557	tags=31%, list=13%, signal=35%	-0.33379042	-1.4853238	0	0.018366883	0.193	2201	tags=28%, list=11%, signal=31%
HALLMARK_FATTY_ACID_METABOLISM	154	0.245448	1.0750084	0.26654065	0.355336	1	3033	tags=18%, list=15%, signal=21%	0.31765768	1.3264574	0.047419805	0.07384019	0.817	3957	tags=27%, list=20%, signal=34%	0.3211579	1.2614408	0.07994186	0.13713361	0.947	3602	tags=23%, list=18%, signal=28%
